,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.778,0.145,0.709,0.887,0.002,0.031,7,2
affinity,0.159,0.088,0.939,0.958,0.944,0.963,7,2
affinity,0.474,0.363,0.939,0.958,0.182,0.125,7,2
affinity,0.992,0.13,0.696,0.92,0.004,0.029,7,2
affinity,1.791,0.908,0.935,0.958,0.06,0.882,7,2
affinity,0.54,0.373,0.935,0.958,0.182,0.118,7,2
KMeans,1.102,0.144,0.648,0.9,0.04,0.048,8,2
KMeans,0.174,0.092,0.928,0.957,0.937,0.966,8,2
KMeans,0.594,0.357,0.928,0.957,0.273,0.162,8,2
KMeans,2.57,0.132,0.594,0.893,0.065,0.07,8,2
KMeans,0.194,0.1,0.928,0.957,0.933,0.962,8,2
KMeans,0.644,0.429,0.928,0.957,0.182,0.108,8,2
KMeans,2.863,0.14,0.645,0.918,0.072,0.087,8,2
KMeans,1.787,0.918,0.934,0.957,0.055,0.794,8,2
KMeans,0.494,0.321,0.934,0.957,0.318,0.206,8,2
specteral,2.629,0.144,0.467,0.895,0.02,0.023,8,2
specteral,0.264,0.145,0.883,0.957,0.886,0.96,8,2
specteral,1.168,0.525,0.883,0.957,0.182,0.067,8,2
specteral,1.645,0.117,0.438,0.92,0.041,0.05,8,2
specteral,0.276,0.148,0.867,0.957,0.876,0.966,8,2
specteral,1.354,0.537,0.867,0.957,0.318,0.103,8,2
specteral,2.477,0.14,0.494,0.922,0.031,0.036,8,2
specteral,1.689,0.867,0.887,0.957,0.106,0.897,8,2
specteral,1.102,0.485,0.887,0.957,0.273,0.103,8,2
affinity,2.586,0.183,0.699,0.906,0.228,0.202,8,2
affinity,0.115,0.064,0.947,0.957,0.961,0.971,8,2
affinity,0.394,0.303,0.947,0.957,0.364,0.296,8,2
affinity,0.531,0.058,0.67,0.906,0.156,0.156,8,2
affinity,0.143,0.082,0.938,0.957,0.947,0.967,8,2
affinity,0.458,0.351,0.938,0.957,0.273,0.188,8,2
affinity,1.715,0.14,0.688,0.908,0.113,0.132,8,2
affinity,1.798,0.934,0.941,0.957,0.043,0.7,8,2
affinity,0.386,0.293,0.941,0.957,0.409,0.3,8,2
KMeans,0.555,0.006,0.686,0.852,0.172,0.218,9,2
KMeans,0.18,0.102,0.93,0.95,0.936,0.956,9,2
KMeans,0.581,0.426,0.93,0.95,0.179,0.128,9,2
KMeans,0.555,0.006,0.736,0.879,0.096,0.123,9,2
KMeans,0.159,0.089,0.936,0.95,0.946,0.96,9,2
KMeans,0.486,0.355,0.936,0.95,0.25,0.194,9,2
KMeans,0.642,0.002,0.722,0.847,0.081,0.121,9,2
KMeans,1.773,0.9,0.936,0.95,0.06,0.889,9,2
KMeans,0.539,0.389,0.936,0.95,0.143,0.111,9,2
specteral,0.548,0.006,0.608,0.916,0.023,0.043,9,2
specteral,0.27,0.15,0.879,0.95,0.884,0.955,9,2
specteral,0.967,0.438,0.879,0.95,0.214,0.088,9,2
specteral,0.148,0.049,0.66,0.92,0.001,0.019,9,2
specteral,0.212,0.121,0.904,0.95,0.912,0.959,9,2
specteral,0.715,0.38,0.904,0.95,0.25,0.13,9,2
specteral,0.148,0.049,0.627,0.95,0.001,0.014,9,2
specteral,1.659,0.841,0.877,0.95,0.122,0.942,9,2
specteral,0.88,0.373,0.877,0.95,0.143,0.058,9,2
affinity,0.69,0.0,0.797,0.863,0.143,0.142,9,2
affinity,0.148,0.087,0.945,0.95,0.951,0.957,9,2
affinity,0.359,0.252,0.945,0.95,0.179,0.161,9,2
affinity,0.919,0.028,0.786,0.882,0.073,0.079,9,2
affinity,0.163,0.091,0.945,0.95,0.949,0.955,9,2
affinity,0.419,0.301,0.945,0.95,0.143,0.129,9,2
