,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.134,0.07,0.959,0.957,0.964,0.963,3,2
KMeans,0.461,0.339,0.959,0.957,0.167,0.174,3,2
KMeans,0.786,0.034,0.784,0.832,0.11,0.102,3,2
KMeans,0.152,0.081,0.955,0.957,0.957,0.959,3,2
KMeans,0.464,0.338,0.955,0.957,0.083,0.08,3,2
KMeans,1.309,0.059,0.8,0.798,0.126,0.091,3,2
KMeans,0.149,0.079,0.961,0.957,0.961,0.957,3,2
KMeans,0.464,0.37,0.961,0.957,0.042,0.045,3,2
specteral,0.229,0.008,0.807,0.871,0.102,0.123,3,2
specteral,0.145,0.079,0.95,0.957,0.955,0.962,3,2
specteral,0.464,0.308,0.95,0.957,0.167,0.143,3,2
specteral,0.142,0.011,0.839,0.86,0.105,0.127,3,2
specteral,0.138,0.077,0.952,0.957,0.957,0.962,3,2
specteral,0.389,0.255,0.952,0.957,0.167,0.148,3,2
specteral,0.742,0.034,0.789,0.853,0.051,0.093,3,2
specteral,0.142,0.081,0.952,0.957,0.955,0.961,3,2
specteral,0.473,0.323,0.952,0.957,0.125,0.111,3,2
affinity,0.822,0.038,0.896,0.794,0.04,0.025,3,2
affinity,0.106,0.057,0.971,0.957,0.978,0.963,3,2
affinity,0.388,0.316,0.971,0.957,0.167,0.25,3,2
affinity,0.271,0.004,0.792,0.869,0.059,0.059,3,2
affinity,0.124,0.068,0.961,0.957,0.966,0.963,3,2
affinity,0.358,0.277,0.961,0.957,0.167,0.182,3,2
affinity,0.044,0.002,0.882,0.884,0.114,0.077,3,2
affinity,0.12,0.073,0.962,0.957,0.964,0.959,3,2
affinity,0.338,0.254,0.962,0.957,0.083,0.095,3,2
KMeans,1.685,0.098,0.681,0.864,0.07,0.07,4,2
KMeans,0.148,0.083,0.943,0.959,0.949,0.965,4,2
KMeans,0.54,0.374,0.943,0.959,0.19,0.138,4,2
KMeans,1.543,0.094,0.758,0.856,0.126,0.117,4,2
KMeans,0.12,0.069,0.957,0.959,0.963,0.965,4,2
KMeans,0.413,0.316,0.957,0.959,0.19,0.182,4,2
KMeans,7.354,0.247,0.793,0.846,0.112,0.072,4,2
KMeans,0.128,0.073,0.961,0.959,0.963,0.961,4,2
KMeans,0.383,0.314,0.961,0.959,0.095,0.1,4,2
specteral,1.224,0.082,0.742,0.852,0.307,0.342,4,2
specteral,0.132,0.073,0.949,0.959,0.957,0.967,4,2
specteral,0.454,0.326,0.949,0.959,0.238,0.192,4,2
specteral,1.24,0.082,0.673,0.88,0.184,0.172,4,2
specteral,0.156,0.085,0.945,0.959,0.949,0.962,4,2
specteral,0.488,0.364,0.945,0.959,0.143,0.107,4,2
specteral,1.543,0.094,0.742,0.829,0.187,0.25,4,2
specteral,0.132,0.075,0.955,0.959,0.959,0.963,4,2
specteral,0.423,0.322,0.955,0.959,0.143,0.13,4,2
affinity,1.559,0.094,0.764,0.813,0.172,0.127,4,2
affinity,0.116,0.065,0.961,0.959,0.967,0.965,4,2
affinity,0.448,0.368,0.961,0.959,0.19,0.2,4,2
affinity,1.685,0.098,0.811,0.88,0.292,0.279,4,2
affinity,0.14,0.079,0.959,0.959,0.959,0.959,4,2
affinity,0.379,0.314,0.959,0.959,0.048,0.048,4,2
affinity,1.571,0.094,0.78,0.85,0.44,0.369,4,2
affinity,0.136,0.077,0.961,0.959,0.961,0.959,4,2
affinity,0.421,0.344,0.961,0.959,0.048,0.05,4,2
KMeans,2.244,0.051,0.724,0.882,0.104,0.124,5,2
KMeans,0.126,0.071,0.949,0.958,0.958,0.967,5,2
KMeans,0.478,0.349,0.949,0.958,0.261,0.214,5,2
KMeans,1.313,0.0,0.815,0.911,0.243,0.179,5,2
KMeans,0.129,0.075,0.956,0.958,0.96,0.962,5,2
KMeans,0.366,0.249,0.956,0.958,0.13,0.125,5,2
KMeans,2.622,0.065,0.816,0.902,0.227,0.197,5,2
KMeans,0.107,0.06,0.956,0.958,0.968,0.97,5,2
KMeans,0.338,0.243,0.956,0.958,0.304,0.292,5,2
specteral,2.429,0.072,0.691,0.873,0.052,0.079,5,2
specteral,0.162,0.089,0.949,0.958,0.949,0.958,5,2
specteral,0.489,0.369,0.949,0.958,0.043,0.036,5,2
specteral,1.76,0.011,0.725,0.873,0.178,0.19,5,2
specteral,0.133,0.067,0.953,0.958,0.962,0.968,5,2
