,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.951,0.009,0.818,0.683,0.217,0.229,9,2
KMeans,0.163,0.086,0.954,0.95,0.957,0.953,9,2
KMeans,0.51,0.38,0.954,0.95,0.107,0.115,9,2
KMeans,3.478,0.064,0.809,0.811,0.09,0.078,9,2
KMeans,0.141,0.084,0.952,0.95,0.957,0.955,9,2
KMeans,0.437,0.317,0.952,0.95,0.143,0.148,9,2
specteral,0.148,0.049,0.824,0.588,0.002,0.03,9,2
specteral,0.177,0.098,0.941,0.95,0.944,0.953,9,2
specteral,0.563,0.364,0.941,0.95,0.107,0.091,9,2
specteral,0.141,0.047,0.683,0.811,0.002,0.02,9,2
specteral,0.205,0.121,0.911,0.95,0.916,0.955,9,2
specteral,0.746,0.44,0.911,0.95,0.179,0.1,9,2
affinity,0.555,0.006,0.909,0.563,0.189,0.224,9,2
affinity,0.127,0.073,0.966,0.95,0.97,0.954,9,2
affinity,0.392,0.306,0.966,0.95,0.107,0.158,9,2
affinity,0.597,0.004,0.872,0.652,0.142,0.114,9,2
affinity,0.134,0.078,0.964,0.95,0.966,0.952,9,2
affinity,0.419,0.335,0.964,0.95,0.071,0.1,9,2
KMeans,1.443,0.131,0.751,0.694,0.257,0.202,10,2
KMeans,0.194,0.104,0.953,0.943,0.95,0.94,10,2
KMeans,0.662,0.504,0.953,0.943,0.0,0.0,10,2
KMeans,1.443,0.131,0.683,0.753,0.149,0.141,10,2
KMeans,0.194,0.106,0.938,0.943,0.941,0.946,10,2
KMeans,0.64,0.47,0.938,0.943,0.111,0.103,10,2
specteral,0.187,0.008,0.781,0.515,0.009,0.046,10,2
specteral,0.198,0.106,0.938,0.943,0.941,0.946,10,2
specteral,0.753,0.474,0.938,0.943,0.111,0.103,10,2
specteral,0.255,0.0,0.689,0.843,0.036,0.047,10,2
specteral,0.232,0.128,0.904,0.943,0.912,0.951,10,2
specteral,0.733,0.411,0.904,0.943,0.222,0.133,10,2
affinity,0.098,0.021,0.813,0.583,0.094,0.077,10,2
affinity,0.16,0.085,0.96,0.943,0.964,0.947,10,2
affinity,0.586,0.446,0.96,0.943,0.111,0.158,10,2
