,winDiff,pk,coverage,purity,recall,precision,season,episode
affinity,0.137,0.075,0.656,0.853,0.956,0.966,2,5
affinity,0.14,0.087,0.64,0.933,0.943,0.965,2,5
affinity,1.78,0.898,0.615,0.922,0.068,0.923,2,5
KMeans,0.138,0.074,0.741,0.834,0.959,0.964,2,6
KMeans,0.112,0.059,0.783,0.83,0.97,0.969,2,6
KMeans,0.119,0.068,0.743,0.881,0.963,0.966,2,6
KMeans,0.153,0.087,0.682,0.94,0.939,0.97,2,6
KMeans,0.138,0.076,0.722,0.905,0.957,0.964,2,6
KMeans,1.805,0.917,0.681,0.926,0.053,0.871,2,6
specteral,0.138,0.081,0.701,0.905,0.949,0.966,2,6
specteral,0.138,0.079,0.701,0.888,0.953,0.964,2,6
specteral,0.138,0.079,0.722,0.921,0.951,0.966,2,6
specteral,0.218,0.125,0.548,0.96,0.898,0.97,2,6
specteral,0.218,0.129,0.578,0.958,0.898,0.966,2,6
specteral,1.741,0.892,0.607,0.919,0.083,0.875,2,6
affinity,0.1,0.055,0.89,0.786,0.976,0.967,2,6
affinity,0.142,0.079,0.701,0.854,0.957,0.96,2,6
affinity,0.112,0.059,0.718,0.883,0.967,0.972,2,6
affinity,0.138,0.074,0.703,0.826,0.957,0.966,2,6
affinity,0.176,0.093,0.578,0.904,0.939,0.964,2,6
affinity,1.797,0.917,0.616,0.932,0.055,0.848,2,6
KMeans,0.148,0.078,0.79,0.828,0.958,0.96,2,7
KMeans,0.113,0.065,0.774,0.843,0.966,0.966,2,7
KMeans,0.136,0.078,0.774,0.841,0.958,0.96,2,7
KMeans,0.19,0.105,0.646,0.868,0.93,0.959,2,7
KMeans,0.174,0.098,0.694,0.87,0.94,0.957,2,7
KMeans,1.799,0.918,0.723,0.929,0.052,0.839,2,7
specteral,0.144,0.078,0.765,0.818,0.958,0.96,2,7
specteral,0.151,0.082,0.769,0.893,0.952,0.962,2,7
specteral,0.136,0.078,0.686,0.822,0.954,0.964,2,7
specteral,0.209,0.126,0.583,0.939,0.904,0.962,2,7
specteral,0.247,0.134,0.53,0.918,0.894,0.963,2,7
specteral,1.734,0.883,0.579,0.943,0.088,0.898,2,7
affinity,0.086,0.05,0.881,0.857,0.978,0.97,2,7
affinity,0.125,0.067,0.803,0.853,0.964,0.966,2,7
affinity,0.136,0.071,0.79,0.807,0.964,0.962,2,7
affinity,0.136,0.075,0.797,0.864,0.958,0.964,2,7
affinity,0.159,0.088,0.709,0.887,0.944,0.963,2,7
affinity,1.791,0.908,0.696,0.92,0.06,0.882,2,7
KMeans,0.123,0.068,0.725,0.859,0.961,0.967,2,8
KMeans,0.123,0.07,0.73,0.816,0.963,0.963,2,8
KMeans,0.108,0.057,0.777,0.814,0.971,0.969,2,8
KMeans,0.174,0.092,0.648,0.9,0.937,0.966,2,8
KMeans,0.194,0.1,0.594,0.893,0.933,0.962,2,8
KMeans,1.787,0.918,0.645,0.918,0.055,0.794,2,8
specteral,0.155,0.088,0.695,0.881,0.947,0.961,2,8
specteral,0.147,0.084,0.66,0.873,0.951,0.961,2,8
specteral,0.147,0.08,0.732,0.865,0.953,0.963,2,8
specteral,0.264,0.145,0.467,0.895,0.886,0.96,2,8
specteral,0.276,0.148,0.438,0.92,0.876,0.966,2,8
specteral,1.689,0.867,0.494,0.922,0.106,0.897,2,8
affinity,0.112,0.059,0.801,0.773,0.976,0.964,2,8
affinity,0.1,0.055,0.793,0.828,0.976,0.968,2,8
