,winDiff,pk,coverage,purity,recall,precision,season,episode
affinity,1.86,0.939,0.656,0.945,0.043,0.905,2,5
KMeans,0.078,0.04,0.708,0.866,0.975,0.984,2,6
KMeans,0.081,0.045,0.681,0.873,0.971,0.982,2,6
KMeans,0.072,0.039,0.676,0.876,0.976,0.984,2,6
KMeans,0.134,0.072,0.523,0.949,0.943,0.983,2,6
KMeans,0.134,0.07,0.57,0.925,0.946,0.982,2,6
KMeans,1.851,0.933,0.547,0.942,0.053,0.932,2,6
specteral,0.093,0.047,0.615,0.854,0.969,0.982,2,6
specteral,0.079,0.043,0.66,0.846,0.974,0.982,2,6
specteral,0.093,0.047,0.588,0.855,0.969,0.982,2,6
specteral,0.155,0.082,0.47,0.974,0.927,0.989,2,6
specteral,0.174,0.093,0.382,0.968,0.919,0.985,2,6
specteral,1.781,0.9,0.414,0.939,0.088,0.948,2,6
affinity,0.068,0.036,0.68,0.853,0.979,0.985,2,6
affinity,0.074,0.041,0.671,0.906,0.973,0.985,2,6
affinity,0.095,0.049,0.579,0.882,0.967,0.982,2,6
affinity,0.091,0.048,0.625,0.896,0.967,0.983,2,6
affinity,0.102,0.056,0.575,0.949,0.959,0.984,2,6
affinity,1.866,0.939,0.528,0.942,0.046,0.941,2,6
KMeans,0.102,0.054,0.717,0.89,0.968,0.976,2,7
KMeans,0.1,0.052,0.805,0.839,0.974,0.973,2,7
KMeans,0.102,0.059,0.784,0.878,0.967,0.972,2,7
KMeans,0.157,0.086,0.598,0.942,0.933,0.977,2,7
KMeans,0.177,0.095,0.564,0.928,0.926,0.975,2,7
KMeans,1.78,0.899,0.556,0.944,0.079,0.945,2,7
specteral,0.104,0.055,0.705,0.824,0.97,0.973,2,7
specteral,0.106,0.054,0.743,0.801,0.973,0.972,2,7
specteral,0.104,0.058,0.711,0.845,0.968,0.973,2,7
specteral,0.177,0.099,0.545,0.969,0.917,0.98,2,7
specteral,0.193,0.105,0.548,0.946,0.914,0.976,2,7
specteral,1.758,0.89,0.538,0.955,0.089,0.94,2,7
affinity,0.093,0.05,0.795,0.852,0.976,0.973,2,7
affinity,0.098,0.054,0.757,0.865,0.97,0.974,2,7
affinity,0.102,0.054,0.76,0.87,0.969,0.975,2,7
affinity,0.086,0.048,0.776,0.894,0.975,0.976,2,7
affinity,0.113,0.065,0.679,0.907,0.959,0.973,2,7
