,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.378,0.015,0.831,0.9,0.199,0.245,2,3
KMeans,0.087,0.054,0.964,0.973,0.967,0.977,2,3
KMeans,0.358,0.241,0.964,0.973,0.174,0.129,2,3
KMeans,0.719,0.033,0.779,0.867,0.067,0.078,2,3
KMeans,0.099,0.054,0.966,0.973,0.969,0.976,2,3
KMeans,0.359,0.308,0.966,0.973,0.13,0.103,2,3
specteral,0.785,0.044,0.771,0.877,0.18,0.214,2,3
specteral,0.085,0.048,0.965,0.973,0.971,0.979,2,3
specteral,0.411,0.309,0.965,0.973,0.261,0.2,2,3
specteral,0.409,0.016,0.74,0.894,0.127,0.145,2,3
specteral,0.101,0.061,0.961,0.973,0.963,0.974,2,3
specteral,0.462,0.315,0.961,0.973,0.087,0.061,2,3
affinity,0.692,0.044,0.833,0.878,0.104,0.137,2,3
affinity,0.078,0.042,0.971,0.973,0.977,0.979,2,3
affinity,0.313,0.272,0.971,0.973,0.261,0.24,2,3
affinity,0.262,0.011,0.799,0.924,0.188,0.199,2,3
affinity,0.087,0.047,0.964,0.973,0.971,0.98,2,3
affinity,0.354,0.258,0.964,0.973,0.304,0.226,2,3
KMeans,0.583,0.056,0.635,0.941,0.019,0.03,4,3
KMeans,0.081,0.044,0.966,0.981,0.97,0.985,4,3
KMeans,0.528,0.362,0.966,0.981,0.238,0.132,4,3
KMeans,0.15,0.014,0.619,0.915,0.051,0.068,4,3
KMeans,0.086,0.046,0.966,0.981,0.969,0.984,4,3
KMeans,0.562,0.359,0.966,0.981,0.19,0.105,4,3
specteral,0.359,0.033,0.634,0.896,0.051,0.064,4,3
specteral,0.085,0.044,0.968,0.981,0.971,0.984,4,3
specteral,0.619,0.412,0.968,0.981,0.19,0.111,4,3
specteral,0.08,0.007,0.656,0.932,0.044,0.065,4,3
specteral,0.083,0.046,0.96,0.981,0.966,0.987,4,3
specteral,0.696,0.36,0.96,0.981,0.333,0.159,4,3
affinity,0.16,0.015,0.681,0.922,0.15,0.167,4,3
affinity,0.083,0.045,0.97,0.981,0.972,0.982,4,3
affinity,0.52,0.375,0.97,0.981,0.095,0.061,4,3
affinity,0.605,0.055,0.622,0.942,0.017,0.033,4,3
affinity,0.081,0.048,0.964,0.981,0.967,0.984,4,3
affinity,0.617,0.425,0.964,0.981,0.19,0.1,4,3
KMeans,0.596,0.12,0.677,0.941,0.016,0.024,5,3
KMeans,0.083,0.045,0.965,0.98,0.969,0.984,5,3
KMeans,0.598,0.306,0.965,0.98,0.231,0.13,5,3
KMeans,0.079,0.016,0.682,0.902,0.049,0.057,5,3
KMeans,0.086,0.045,0.97,0.98,0.972,0.982,5,3
KMeans,0.525,0.312,0.97,0.98,0.115,0.075,5,3
specteral,0.034,0.007,0.73,0.879,0.246,0.272,5,3
specteral,0.077,0.04,0.975,0.98,0.977,0.982,5,3
specteral,0.504,0.33,0.975,0.98,0.115,0.091,5,3
specteral,0.643,0.133,0.692,0.863,0.027,0.047,5,3
specteral,0.077,0.039,0.973,0.98,0.976,0.984,5,3
specteral,0.541,0.351,0.973,0.98,0.192,0.139,5,3
affinity,0.045,0.009,0.674,0.894,0.058,0.072,5,3
affinity,0.081,0.042,0.973,0.98,0.975,0.982,5,3
affinity,0.513,0.374,0.973,0.98,0.115,0.083,5,3
affinity,0.489,0.098,0.659,0.952,0.023,0.042,5,3
affinity,0.077,0.041,0.968,0.98,0.973,0.985,5,3
affinity,0.523,0.367,0.968,0.98,0.269,0.167,5,3
KMeans,0.461,0.027,0.634,0.892,0.063,0.069,7,3
KMeans,0.1,0.055,0.964,0.976,0.965,0.977,7,3
KMeans,0.478,0.368,0.964,0.976,0.091,0.061,7,3
KMeans,0.449,0.025,0.759,0.911,0.224,0.24,7,3
KMeans,0.096,0.055,0.964,0.976,0.965,0.977,7,3
