,winDiff,pk,coverage,purity,recall,precision,season,episode
specteral,0.092,0.05,0.747,0.71,0.967,0.981,3,4
affinity,0.086,0.046,0.648,0.908,0.971,0.982,3,4
affinity,0.081,0.044,0.608,0.929,0.97,0.985,3,4
affinity,0.09,0.047,0.772,0.622,0.97,0.982,3,4
affinity,0.095,0.052,0.655,0.674,0.966,0.98,3,4
KMeans,0.08,0.044,0.714,0.917,0.974,0.981,3,5
KMeans,0.074,0.037,0.768,0.869,0.979,0.983,3,5
KMeans,0.078,0.041,0.7,0.767,0.975,0.984,3,5
KMeans,0.074,0.039,0.676,0.863,0.976,0.984,3,5
specteral,0.065,0.034,0.749,0.857,0.982,0.984,3,5
specteral,0.06,0.032,0.773,0.797,0.985,0.983,3,5
specteral,0.084,0.044,0.758,0.56,0.975,0.981,3,5
specteral,0.099,0.05,0.681,0.659,0.966,0.982,3,5
affinity,0.074,0.038,0.702,0.887,0.978,0.984,3,5
affinity,0.083,0.044,0.629,0.944,0.971,0.984,3,5
affinity,0.099,0.051,0.711,0.755,0.966,0.981,3,5
affinity,0.114,0.059,0.622,0.809,0.958,0.981,3,5
KMeans,0.083,0.046,0.824,0.871,0.976,0.978,3,7
KMeans,0.065,0.036,0.84,0.875,0.982,0.981,3,7
KMeans,0.1,0.055,0.766,0.78,0.967,0.976,3,7
KMeans,0.087,0.048,0.69,0.792,0.972,0.979,3,7
specteral,0.072,0.039,0.797,0.878,0.978,0.982,3,7
specteral,0.107,0.059,0.742,0.873,0.964,0.975,3,7
specteral,0.109,0.058,0.809,0.488,0.965,0.975,3,7
specteral,0.109,0.058,0.82,0.476,0.963,0.977,3,7
affinity,0.067,0.039,0.823,0.922,0.978,0.982,3,7
affinity,0.081,0.048,0.759,0.933,0.97,0.981,3,7
affinity,0.107,0.055,0.817,0.646,0.968,0.975,3,7
affinity,0.1,0.054,0.772,0.668,0.968,0.976,3,7
KMeans,0.088,0.046,0.713,0.881,0.971,0.982,3,8
KMeans,0.064,0.035,0.823,0.89,0.981,0.983,3,8
