,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.638,0.101,0.748,0.699,0.002,0.026,1,2
affinity,0.131,0.071,0.952,0.974,0.952,0.974,1,2
affinity,0.856,0.362,0.952,0.974,0.048,0.026,1,2
affinity,0.638,0.101,0.718,0.737,0.002,0.029,1,2
affinity,0.128,0.066,0.957,0.974,0.957,0.974,1,2
affinity,0.771,0.426,0.957,0.974,0.048,0.029,1,2
KMeans,0.309,0.039,0.806,0.701,0.065,0.091,2,2
KMeans,0.1,0.054,0.971,0.975,0.97,0.974,2,2
KMeans,0.501,0.367,0.971,0.975,0.0,0.0,2,2
KMeans,0.394,0.049,0.85,0.784,0.114,0.089,2,2
KMeans,0.077,0.044,0.974,0.975,0.977,0.978,2,2
KMeans,0.352,0.265,0.974,0.975,0.158,0.15,2,2
specteral,0.573,0.085,0.846,0.464,0.004,0.032,2,2
specteral,0.119,0.066,0.959,0.975,0.958,0.974,2,2
specteral,0.946,0.388,0.959,0.975,0.0,0.0,2,2
specteral,0.573,0.085,0.805,0.649,0.004,0.029,2,2
specteral,0.124,0.066,0.954,0.975,0.955,0.976,2,2
specteral,0.888,0.372,0.954,0.975,0.105,0.057,2,2
affinity,0.577,0.085,0.765,0.658,0.003,0.03,2,2
affinity,0.119,0.063,0.956,0.975,0.958,0.977,2,2
affinity,0.858,0.418,0.956,0.975,0.105,0.061,2,2
affinity,0.577,0.085,0.74,0.712,0.003,0.029,2,2
affinity,0.129,0.067,0.955,0.975,0.955,0.975,2,2
affinity,0.767,0.394,0.955,0.975,0.053,0.029,2,2
KMeans,0.418,0.035,0.725,0.753,0.099,0.122,4,2
KMeans,0.096,0.053,0.969,0.975,0.97,0.976,4,2
KMeans,0.647,0.405,0.969,0.975,0.05,0.04,4,2
KMeans,0.388,0.032,0.747,0.779,0.121,0.16,4,2
KMeans,0.106,0.055,0.969,0.975,0.969,0.975,4,2
KMeans,0.624,0.401,0.969,0.975,0.0,0.0,4,2
specteral,0.595,0.068,0.778,0.642,0.004,0.029,4,2
specteral,0.123,0.064,0.958,0.975,0.958,0.976,4,2
specteral,0.908,0.407,0.958,0.975,0.05,0.029,4,2
specteral,0.598,0.068,0.699,0.794,0.002,0.021,4,2
specteral,0.143,0.079,0.941,0.975,0.942,0.977,4,2
specteral,1.026,0.393,0.941,0.975,0.1,0.042,4,2
affinity,0.598,0.068,0.677,0.769,0.002,0.025,4,2
affinity,0.138,0.071,0.951,0.975,0.951,0.975,4,2
affinity,0.859,0.362,0.951,0.975,0.05,0.025,4,2
affinity,0.604,0.07,0.656,0.852,0.003,0.026,4,2
affinity,0.135,0.069,0.953,0.975,0.953,0.976,4,2
affinity,0.818,0.423,0.953,0.975,0.05,0.026,4,2
KMeans,0.342,0.034,0.736,0.834,0.043,0.061,5,2
KMeans,0.09,0.048,0.963,0.976,0.969,0.982,5,2
KMeans,0.459,0.299,0.963,0.976,0.273,0.176,5,2
KMeans,0.143,0.014,0.725,0.877,0.119,0.111,5,2
KMeans,0.107,0.058,0.964,0.976,0.964,0.976,5,2
KMeans,0.499,0.32,0.964,0.976,0.045,0.03,5,2
specteral,0.565,0.071,0.798,0.623,0.002,0.023,5,2
specteral,0.114,0.06,0.953,0.976,0.957,0.981,5,2
specteral,0.919,0.358,0.953,0.976,0.227,0.116,5,2
specteral,0.62,0.076,0.713,0.733,0.001,0.02,5,2
specteral,0.127,0.069,0.946,0.976,0.95,0.979,5,2
specteral,0.915,0.342,0.946,0.976,0.182,0.082,5,2
affinity,0.568,0.071,0.675,0.788,0.002,0.024,5,2
affinity,0.127,0.064,0.955,0.976,0.956,0.977,5,2
affinity,0.718,0.437,0.955,0.976,0.091,0.049,5,2
affinity,0.568,0.071,0.704,0.819,0.002,0.023,5,2
affinity,0.127,0.066,0.952,0.976,0.954,0.978,5,2
affinity,0.725,0.373,0.952,0.976,0.136,0.068,5,2
KMeans,0.323,0.008,0.668,0.844,0.074,0.098,6,2
KMeans,0.095,0.05,0.965,0.981,0.966,0.982,6,2
KMeans,0.761,0.419,0.965,0.981,0.1,0.054,6,2
KMeans,1.395,0.078,0.605,0.827,0.055,0.079,6,2
KMeans,0.085,0.045,0.972,0.981,0.972,0.982,6,2
KMeans,0.605,0.458,0.972,0.981,0.05,0.033,6,2
specteral,0.529,0.042,0.779,0.514,0.002,0.033,6,2
specteral,0.087,0.045,0.972,0.981,0.972,0.982,6,2
specteral,0.842,0.431,0.972,0.981,0.05,0.033,6,2
specteral,0.526,0.035,0.653,0.705,0.002,0.021,6,2
specteral,0.106,0.054,0.956,0.981,0.96,0.985,6,2
specteral,1.197,0.505,0.956,0.981,0.25,0.106,6,2
affinity,0.528,0.04,0.644,0.687,0.002,0.025,6,2
affinity,0.1,0.053,0.962,0.981,0.963,0.982,6,2
affinity,1.033,0.544,0.962,0.981,0.1,0.05,6,2
affinity,0.505,0.035,0.586,0.777,0.006,0.023,6,2
