,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.202,0.025,0.854,0.868,0.159,0.127,2,2
affinity,0.082,0.044,0.974,0.975,0.977,0.978,2,2
affinity,0.358,0.313,0.974,0.975,0.158,0.15,2,2
affinity,0.352,0.044,0.749,0.885,0.05,0.074,2,2
affinity,0.106,0.053,0.967,0.975,0.969,0.977,2,2
affinity,0.446,0.373,0.967,0.975,0.105,0.08,2,2
KMeans,0.075,0.006,0.774,0.92,0.125,0.139,4,2
KMeans,0.081,0.043,0.972,0.975,0.976,0.98,4,2
KMeans,0.321,0.22,0.972,0.975,0.2,0.174,4,2
KMeans,1.517,0.138,0.805,0.867,0.054,0.027,4,2
KMeans,0.081,0.042,0.978,0.975,0.98,0.977,4,2
KMeans,0.416,0.295,0.978,0.975,0.1,0.111,4,2
specteral,0.739,0.078,0.832,0.896,0.44,0.425,4,2
specteral,0.074,0.042,0.975,0.975,0.979,0.979,4,2
specteral,0.391,0.258,0.975,0.975,0.15,0.15,4,2
specteral,0.739,0.078,0.766,0.883,0.284,0.319,4,2
specteral,0.088,0.049,0.973,0.975,0.974,0.976,4,2
specteral,0.477,0.32,0.973,0.975,0.05,0.045,4,2
affinity,0.771,0.076,0.696,0.892,0.326,0.367,4,2
affinity,0.084,0.043,0.969,0.975,0.975,0.981,4,2
affinity,0.468,0.347,0.969,0.975,0.25,0.2,4,2
affinity,0.134,0.011,0.674,0.918,0.112,0.113,4,2
affinity,0.091,0.05,0.967,0.975,0.97,0.978,4,2
affinity,0.496,0.348,0.967,0.975,0.15,0.111,4,2
KMeans,0.066,0.007,0.756,0.847,0.168,0.172,5,2
KMeans,0.09,0.049,0.97,0.976,0.972,0.977,5,2
KMeans,0.405,0.336,0.97,0.976,0.091,0.074,5,2
KMeans,0.486,0.049,0.752,0.845,0.084,0.125,5,2
KMeans,0.066,0.038,0.973,0.976,0.979,0.982,5,2
KMeans,0.369,0.307,0.973,0.976,0.273,0.24,5,2
specteral,0.795,0.086,0.827,0.891,0.205,0.228,5,2
specteral,0.061,0.037,0.974,0.976,0.98,0.982,5,2
specteral,0.275,0.227,0.974,0.976,0.273,0.25,5,2
specteral,0.033,0.003,0.783,0.902,0.134,0.151,5,2
specteral,0.083,0.048,0.969,0.976,0.972,0.979,5,2
specteral,0.383,0.287,0.969,0.976,0.136,0.107,5,2
affinity,0.826,0.09,0.773,0.869,0.116,0.127,5,2
affinity,0.072,0.043,0.97,0.976,0.975,0.981,5,2
affinity,0.396,0.322,0.97,0.976,0.227,0.185,5,2
affinity,0.602,0.075,0.729,0.908,0.02,0.043,5,2
affinity,0.088,0.046,0.965,0.976,0.971,0.982,5,2
affinity,0.424,0.318,0.965,0.976,0.273,0.188,5,2
KMeans,0.886,0.027,0.742,0.891,0.124,0.167,6,2
KMeans,0.06,0.032,0.975,0.981,0.981,0.986,6,2
KMeans,0.398,0.278,0.975,0.981,0.3,0.231,6,2
KMeans,1.081,0.064,0.709,0.848,0.133,0.155,6,2
KMeans,0.059,0.03,0.979,0.981,0.984,0.986,6,2
KMeans,0.396,0.332,0.979,0.981,0.25,0.227,6,2
specteral,1.022,0.052,0.691,0.854,0.071,0.095,6,2
specteral,0.07,0.038,0.974,0.981,0.977,0.984,6,2
specteral,0.549,0.412,0.974,0.981,0.2,0.143,6,2
specteral,1.055,0.05,0.715,0.871,0.071,0.103,6,2
specteral,0.053,0.028,0.974,0.981,0.982,0.989,6,2
specteral,0.508,0.341,0.974,0.981,0.45,0.321,6,2
affinity,0.993,0.035,0.652,0.863,0.103,0.11,6,2
affinity,0.081,0.042,0.973,0.981,0.974,0.983,6,2
affinity,0.527,0.41,0.973,0.981,0.1,0.069,6,2
affinity,0.21,0.004,0.616,0.911,0.084,0.104,6,2
affinity,0.093,0.049,0.968,0.981,0.968,0.981,6,2
affinity,0.509,0.385,0.968,0.981,0.05,0.029,6,2
KMeans,2.752,0.058,0.759,0.894,0.28,0.331,7,2
KMeans,0.091,0.051,0.969,0.971,0.973,0.975,7,2
KMeans,0.402,0.292,0.969,0.971,0.154,0.143,7,2
KMeans,2.545,0.105,0.808,0.834,0.037,0.013,7,2
KMeans,0.078,0.041,0.977,0.971,0.982,0.976,7,2
KMeans,0.393,0.308,0.977,0.971,0.192,0.238,7,2
specteral,2.288,0.052,0.755,0.887,0.149,0.163,7,2
specteral,0.104,0.056,0.968,0.971,0.969,0.973,7,2
specteral,0.402,0.29,0.968,0.971,0.077,0.069,7,2
specteral,2.493,0.053,0.763,0.875,0.521,0.53,7,2
specteral,0.098,0.051,0.971,0.971,0.974,0.974,7,2
specteral,0.404,0.304,0.971,0.971,0.115,0.115,7,2
affinity,2.04,0.078,0.712,0.833,0.069,0.057,7,2
affinity,0.095,0.051,0.971,0.971,0.974,0.974,7,2
affinity,0.454,0.372,0.971,0.971,0.115,0.115,7,2
affinity,0.388,0.012,0.725,0.888,0.06,0.089,7,2
affinity,0.109,0.06,0.962,0.971,0.965,0.974,7,2
affinity,0.482,0.361,0.962,0.971,0.115,0.088,7,2
KMeans,0.785,0.013,0.865,0.888,0.651,0.648,8,2
KMeans,0.091,0.051,0.967,0.967,0.973,0.973,8,2
KMeans,0.288,0.229,0.967,0.967,0.227,0.227,8,2
KMeans,1.469,0.059,0.871,0.806,0.058,0.036,8,2
KMeans,0.088,0.047,0.974,0.967,0.98,0.972,8,2
KMeans,0.359,0.292,0.974,0.967,0.182,0.235,8,2
specteral,1.889,0.052,0.838,0.852,0.117,0.101,8,2
specteral,0.079,0.042,0.97,0.967,0.98,0.977,8,2
specteral,0.334,0.287,0.97,0.967,0.318,0.35,8,2
specteral,1.642,0.059,0.799,0.785,0.052,0.033,8,2
specteral,0.094,0.053,0.971,0.967,0.975,0.97,8,2
specteral,0.489,0.427,0.971,0.967,0.136,0.158,8,2
affinity,4.331,0.116,0.782,0.717,0.043,0.02,8,2
affinity,0.109,0.057,0.973,0.967,0.973,0.967,8,2
affinity,0.502,0.442,0.973,0.967,0.045,0.056,8,2
