,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.527,0.355,0.956,0.975,0.105,0.061,2,2
affinity,0.679,0.097,0.603,0.905,0.005,0.029,2,2
affinity,1.86,0.941,0.955,0.975,0.041,0.882,2,2
affinity,0.572,0.405,0.955,0.975,0.211,0.118,2,2
KMeans,0.695,0.053,0.515,0.924,0.006,0.026,4,2
KMeans,0.15,0.082,0.94,0.975,0.94,0.975,4,2
KMeans,0.883,0.477,0.94,0.975,0.05,0.02,4,2
KMeans,0.478,0.04,0.533,0.946,0.031,0.057,4,2
KMeans,0.133,0.071,0.946,0.975,0.948,0.978,4,2
KMeans,0.805,0.438,0.946,0.975,0.15,0.068,4,2
KMeans,0.164,0.014,0.553,0.945,0.057,0.067,4,2
KMeans,1.853,0.928,0.95,0.975,0.05,0.976,4,2
KMeans,0.684,0.428,0.95,0.975,0.05,0.024,4,2
specteral,0.433,0.036,0.515,0.939,0.037,0.046,4,2
specteral,0.16,0.085,0.923,0.975,0.93,0.983,4,2
specteral,1.235,0.486,0.923,0.975,0.35,0.111,4,2
specteral,0.299,0.025,0.557,0.973,0.04,0.049,4,2
specteral,0.147,0.088,0.931,0.975,0.932,0.976,4,2
specteral,1.015,0.431,0.931,0.975,0.1,0.036,4,2
specteral,0.239,0.02,0.595,0.931,0.052,0.058,4,2
specteral,1.823,0.92,0.935,0.975,0.062,0.925,4,2
specteral,1.014,0.401,0.935,0.975,0.2,0.075,4,2
affinity,0.756,0.075,0.664,0.879,0.06,0.08,4,2
affinity,0.106,0.055,0.967,0.975,0.967,0.976,4,2
affinity,0.518,0.397,0.967,0.975,0.05,0.037,4,2
affinity,0.623,0.072,0.612,0.956,0.005,0.027,4,2
affinity,0.12,0.065,0.955,0.975,0.956,0.977,4,2
affinity,0.587,0.369,0.955,0.975,0.1,0.054,4,2
affinity,0.687,0.073,0.517,0.937,0.039,0.058,4,2
affinity,1.865,0.948,0.956,0.975,0.036,0.806,4,2
affinity,0.628,0.43,0.956,0.975,0.35,0.194,4,2
KMeans,0.736,0.079,0.609,0.94,0.005,0.02,5,2
KMeans,0.133,0.071,0.944,0.976,0.947,0.979,5,2
KMeans,0.822,0.399,0.944,0.976,0.182,0.078,5,2
KMeans,0.481,0.049,0.683,0.973,0.028,0.045,5,2
KMeans,0.103,0.063,0.954,0.976,0.956,0.978,5,2
KMeans,0.536,0.313,0.954,0.976,0.136,0.071,5,2
KMeans,0.32,0.032,0.662,0.944,0.07,0.086,5,2
KMeans,1.856,0.941,0.952,0.976,0.043,0.864,5,2
KMeans,0.638,0.343,0.952,0.976,0.273,0.136,5,2
specteral,0.464,0.046,0.557,0.953,0.016,0.026,5,2
specteral,0.14,0.078,0.929,0.976,0.936,0.984,5,2
specteral,1.101,0.394,0.929,0.976,0.364,0.123,5,2
specteral,0.514,0.053,0.621,0.966,0.016,0.026,5,2
specteral,0.127,0.071,0.931,0.976,0.941,0.986,5,2
specteral,1.051,0.351,0.931,0.976,0.455,0.159,5,2
specteral,0.408,0.041,0.515,0.951,0.018,0.028,5,2
specteral,1.803,0.923,0.926,0.976,0.065,0.853,5,2
specteral,1.174,0.426,0.926,0.976,0.455,0.147,5,2
affinity,0.585,0.058,0.717,0.855,0.063,0.079,5,2
affinity,0.09,0.049,0.966,0.976,0.97,0.98,5,2
affinity,0.447,0.337,0.966,0.976,0.182,0.129,5,2
affinity,0.584,0.073,0.631,0.925,0.002,0.024,5,2
affinity,0.105,0.055,0.954,0.976,0.961,0.983,5,2
affinity,0.63,0.391,0.954,0.976,0.318,0.167,5,2
affinity,0.73,0.086,0.644,0.96,0.003,0.023,5,2
affinity,1.856,0.948,0.952,0.976,0.039,0.795,5,2
affinity,0.624,0.375,0.952,0.976,0.409,0.205,5,2
KMeans,0.528,0.04,0.528,0.954,0.001,0.018,6,2
KMeans,0.106,0.056,0.946,0.981,0.954,0.989,6,2
KMeans,0.986,0.412,0.946,0.981,0.45,0.158,6,2
KMeans,0.251,0.011,0.596,0.939,0.076,0.082,6,2
KMeans,0.098,0.052,0.959,0.981,0.962,0.984,6,2
KMeans,0.702,0.355,0.959,0.981,0.2,0.093,6,2
KMeans,0.685,0.035,0.549,0.92,0.037,0.058,6,2
KMeans,1.875,0.945,0.957,0.981,0.04,0.913,6,2
KMeans,0.821,0.426,0.957,0.981,0.2,0.087,6,2
specteral,0.435,0.012,0.517,0.91,0.045,0.054,6,2
specteral,0.125,0.062,0.941,0.981,0.948,0.988,6,2
specteral,1.272,0.446,0.941,0.981,0.4,0.129,6,2
specteral,0.147,0.008,0.483,0.936,0.038,0.051,6,2
specteral,0.153,0.079,0.932,0.981,0.935,0.984,6,2
specteral,1.493,0.458,0.932,0.981,0.2,0.056,6,2
specteral,0.126,0.001,0.527,0.937,0.032,0.043,6,2
specteral,1.839,0.935,0.939,0.981,0.055,0.877,6,2
specteral,1.338,0.443,0.939,0.981,0.4,0.123,6,2
affinity,0.225,0.008,0.575,0.876,0.082,0.099,6,2
affinity,0.091,0.046,0.965,0.981,0.968,0.984,6,2
affinity,0.643,0.439,0.965,0.981,0.2,0.108,6,2
affinity,0.135,0.002,0.573,0.913,0.061,0.074,6,2
affinity,0.102,0.055,0.96,0.981,0.962,0.982,6,2
affinity,0.723,0.418,0.96,0.981,0.1,0.048,6,2
affinity,0.519,0.035,0.546,0.942,0.003,0.022,6,2
affinity,1.875,0.945,0.957,0.981,0.04,0.913,6,2
affinity,0.752,0.433,0.957,0.981,0.2,0.087,6,2
KMeans,0.292,0.001,0.659,0.928,0.076,0.082,7,2
KMeans,0.133,0.072,0.941,0.971,0.948,0.978,7,2
KMeans,0.675,0.34,0.941,0.971,0.269,0.132,7,2
KMeans,2.903,0.058,0.712,0.93,0.026,0.044,7,2
KMeans,0.109,0.062,0.951,0.971,0.958,0.978,7,2
KMeans,0.587,0.328,0.951,0.971,0.269,0.159,7,2
KMeans,2.443,0.052,0.64,0.948,0.021,0.038,7,2
KMeans,1.831,0.936,0.945,0.971,0.047,0.82,7,2
KMeans,0.637,0.352,0.945,0.971,0.346,0.18,7,2
specteral,0.292,0.001,0.563,0.937,0.068,0.073,7,2
specteral,0.155,0.083,0.932,0.971,0.937,0.976,7,2
specteral,0.821,0.39,0.932,0.971,0.231,0.098,7,2
specteral,0.124,0.004,0.631,0.939,0.043,0.057,7,2
specteral,0.142,0.08,0.936,0.971,0.941,0.976,7,2
specteral,0.801,0.383,0.936,0.971,0.231,0.103,7,2
specteral,0.087,0.006,0.604,0.926,0.033,0.039,7,2
specteral,1.809,0.918,0.934,0.971,0.062,0.9,7,2
specteral,0.847,0.414,0.934,0.971,0.231,0.1,7,2
affinity,2.04,0.078,0.689,0.883,0.099,0.124,7,2
affinity,0.091,0.051,0.965,0.971,0.97,0.977,7,2
affinity,0.454,0.36,0.965,0.971,0.231,0.188,7,2
affinity,0.106,0.031,0.694,0.93,0.056,0.084,7,2
affinity,0.106,0.062,0.958,0.971,0.961,0.975,7,2
affinity,0.47,0.328,0.958,0.971,0.154,0.105,7,2
