,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.647,0.103,0.8,0.667,0.002,0.034,1,2
affinity,0.116,0.062,0.964,0.974,0.963,0.973,1,2
affinity,0.761,0.413,0.964,0.974,0.0,0.0,1,2
affinity,0.647,0.103,0.688,0.809,0.002,0.03,1,2
affinity,0.116,0.064,0.959,0.974,0.96,0.974,1,2
affinity,0.7,0.457,0.959,0.974,0.048,0.03,1,2
KMeans,0.458,0.057,0.782,0.728,0.04,0.065,2,2
KMeans,0.108,0.059,0.963,0.975,0.963,0.975,2,2
KMeans,0.572,0.321,0.963,0.975,0.053,0.036,2,2
KMeans,0.341,0.043,0.858,0.809,0.062,0.083,2,2
KMeans,0.085,0.049,0.971,0.975,0.973,0.977,2,2
KMeans,0.279,0.214,0.971,0.975,0.105,0.091,2,2
specteral,0.573,0.085,0.842,0.458,0.005,0.037,2,2
specteral,0.114,0.061,0.964,0.975,0.963,0.974,2,2
specteral,0.881,0.436,0.964,0.975,0.0,0.0,2,2
specteral,0.662,0.096,0.839,0.566,0.003,0.036,2,2
specteral,0.114,0.062,0.963,0.975,0.962,0.974,2,2
specteral,0.832,0.407,0.963,0.975,0.0,0.0,2,2
affinity,0.587,0.086,0.773,0.608,0.003,0.038,2,2
affinity,0.103,0.057,0.966,0.975,0.966,0.975,2,2
affinity,0.74,0.451,0.966,0.975,0.053,0.038,2,2
affinity,0.587,0.086,0.855,0.66,0.004,0.042,2,2
affinity,0.095,0.049,0.968,0.975,0.972,0.978,2,2
affinity,0.551,0.334,0.968,0.975,0.158,0.125,2,2
KMeans,0.119,0.01,0.783,0.805,0.124,0.135,4,2
KMeans,0.098,0.054,0.971,0.975,0.97,0.975,4,2
KMeans,0.512,0.317,0.971,0.975,0.0,0.0,4,2
KMeans,0.239,0.02,0.753,0.805,0.097,0.108,4,2
KMeans,0.093,0.05,0.969,0.975,0.971,0.977,4,2
KMeans,0.513,0.337,0.969,0.975,0.1,0.08,4,2
specteral,0.598,0.068,0.756,0.636,0.002,0.029,4,2
specteral,0.13,0.067,0.957,0.975,0.956,0.974,4,2
specteral,0.965,0.441,0.957,0.975,0.0,0.0,4,2
specteral,0.616,0.071,0.681,0.831,0.003,0.023,4,2
specteral,0.123,0.067,0.947,0.975,0.951,0.979,4,2
specteral,0.862,0.379,0.947,0.975,0.2,0.093,4,2
affinity,0.608,0.07,0.713,0.718,0.003,0.032,4,2
affinity,0.113,0.058,0.962,0.975,0.964,0.977,4,2
affinity,0.745,0.388,0.962,0.975,0.1,0.065,4,2
affinity,0.608,0.07,0.752,0.728,0.004,0.042,4,2
affinity,0.098,0.052,0.971,0.975,0.971,0.976,4,2
affinity,0.555,0.399,0.971,0.975,0.05,0.042,4,2
KMeans,0.475,0.047,0.763,0.83,0.032,0.052,5,2
KMeans,0.107,0.06,0.962,0.976,0.962,0.976,5,2
KMeans,0.492,0.288,0.962,0.976,0.045,0.029,5,2
KMeans,0.066,0.007,0.788,0.861,0.118,0.129,5,2
KMeans,0.077,0.044,0.967,0.976,0.973,0.982,5,2
KMeans,0.376,0.235,0.967,0.976,0.273,0.2,5,2
specteral,0.607,0.076,0.791,0.497,0.006,0.034,5,2
specteral,0.098,0.051,0.968,0.976,0.97,0.977,5,2
specteral,0.726,0.415,0.968,0.976,0.091,0.069,5,2
specteral,0.584,0.073,0.71,0.739,0.002,0.021,5,2
specteral,0.127,0.068,0.948,0.976,0.951,0.979,5,2
specteral,0.919,0.389,0.948,0.976,0.182,0.083,5,2
affinity,0.577,0.072,0.725,0.76,0.002,0.029,5,2
affinity,0.112,0.057,0.963,0.976,0.964,0.977,5,2
affinity,0.604,0.402,0.963,0.976,0.091,0.059,5,2
affinity,0.577,0.072,0.765,0.78,0.002,0.032,5,2
affinity,0.098,0.051,0.966,0.976,0.969,0.979,5,2
affinity,0.49,0.344,0.966,0.976,0.136,0.097,5,2
KMeans,0.114,0.005,0.636,0.871,0.052,0.066,6,2
KMeans,0.095,0.051,0.962,0.981,0.964,0.983,6,2
KMeans,0.775,0.405,0.962,0.981,0.15,0.075,6,2
KMeans,0.973,0.063,0.585,0.865,0.036,0.04,6,2
KMeans,0.093,0.048,0.965,0.981,0.967,0.983,6,2
KMeans,0.769,0.496,0.965,0.981,0.15,0.081,6,2
specteral,0.528,0.04,0.705,0.613,0.002,0.029,6,2
specteral,0.098,0.05,0.967,0.981,0.967,0.981,6,2
specteral,1.026,0.531,0.967,0.981,0.05,0.029,6,2
specteral,0.502,0.024,0.651,0.807,0.005,0.022,6,2
specteral,0.104,0.054,0.958,0.981,0.961,0.984,6,2
specteral,1.106,0.51,0.958,0.981,0.2,0.089,6,2
affinity,0.528,0.039,0.647,0.684,0.002,0.031,6,2
affinity,0.089,0.047,0.97,0.981,0.97,0.981,6,2
affinity,0.832,0.529,0.97,0.981,0.05,0.031,6,2
affinity,0.528,0.039,0.665,0.785,0.002,0.03,6,2
affinity,0.095,0.05,0.969,0.981,0.968,0.981,6,2
affinity,0.785,0.501,0.969,0.981,0.0,0.0,6,2
KMeans,0.238,0.001,0.745,0.824,0.141,0.159,7,2
KMeans,0.106,0.059,0.961,0.971,0.965,0.975,7,2
KMeans,0.497,0.329,0.961,0.971,0.154,0.114,7,2
KMeans,2.746,0.066,0.757,0.849,0.075,0.093,7,2
KMeans,0.109,0.056,0.966,0.971,0.968,0.974,7,2
KMeans,0.458,0.324,0.966,0.971,0.115,0.097,7,2
specteral,0.092,0.037,0.821,0.533,0.002,0.036,7,2
specteral,0.098,0.053,0.969,0.971,0.971,0.974,7,2
specteral,0.599,0.377,0.969,0.971,0.115,0.107,7,2
specteral,0.087,0.038,0.779,0.61,0.002,0.026,7,2
specteral,0.113,0.062,0.958,0.971,0.961,0.975,7,2
specteral,0.657,0.349,0.958,0.971,0.154,0.105,7,2
affinity,0.097,0.035,0.782,0.583,0.002,0.033,7,2
affinity,0.104,0.055,0.967,0.971,0.969,0.974,7,2
affinity,0.58,0.391,0.967,0.971,0.115,0.1,7,2
affinity,0.097,0.035,0.763,0.81,0.002,0.03,7,2
affinity,0.1,0.054,0.963,0.971,0.968,0.976,7,2
affinity,0.451,0.327,0.963,0.971,0.192,0.152,7,2
KMeans,0.513,0.007,0.855,0.672,0.137,0.104,8,2
KMeans,0.112,0.061,0.97,0.967,0.97,0.967,8,2
KMeans,0.452,0.318,0.97,0.967,0.045,0.05,8,2
KMeans,0.714,0.029,0.797,0.775,0.198,0.233,8,2
KMeans,0.106,0.057,0.967,0.967,0.97,0.97,8,2
KMeans,0.424,0.328,0.967,0.967,0.136,0.136,8,2
specteral,0.227,0.045,0.832,0.52,0.003,0.037,8,2
specteral,0.121,0.065,0.959,0.967,0.962,0.97,8,2
specteral,0.772,0.433,0.959,0.967,0.136,0.111,8,2
specteral,0.232,0.045,0.815,0.614,0.004,0.036,8,2
specteral,0.13,0.067,0.958,0.967,0.961,0.97,8,2
specteral,0.666,0.403,0.958,0.967,0.136,0.107,8,2
affinity,0.224,0.044,0.831,0.554,0.046,0.044,8,2
affinity,0.115,0.059,0.968,0.967,0.97,0.969,8,2
affinity,0.517,0.382,0.968,0.967,0.091,0.095,8,2
affinity,0.224,0.044,0.814,0.681,0.003,0.042,8,2
affinity,0.121,0.067,0.964,0.967,0.964,0.967,8,2
affinity,0.502,0.374,0.964,0.967,0.045,0.042,8,2
KMeans,0.336,0.039,0.73,0.851,0.045,0.039,1,3
KMeans,0.087,0.049,0.967,0.976,0.97,0.979,1,3
KMeans,0.468,0.322,0.967,0.976,0.182,0.133,1,3
KMeans,0.039,0.002,0.733,0.885,0.081,0.076,1,3
KMeans,0.1,0.053,0.958,0.976,0.964,0.981,1,3
KMeans,0.515,0.263,0.958,0.976,0.273,0.158,1,3
specteral,0.425,0.05,0.781,0.57,0.038,0.037,1,3
specteral,0.102,0.052,0.966,0.976,0.968,0.978,1,3
specteral,0.883,0.465,0.966,0.976,0.136,0.097,1,3
specteral,0.383,0.046,0.732,0.769,0.032,0.03,1,3
specteral,0.107,0.056,0.956,0.976,0.961,0.981,1,3
specteral,0.808,0.388,0.956,0.976,0.273,0.15,1,3
affinity,0.399,0.047,0.74,0.666,0.042,0.04,1,3
affinity,0.107,0.057,0.968,0.976,0.967,0.975,1,3
affinity,0.718,0.426,0.968,0.976,0.0,0.0,1,3
affinity,0.416,0.049,0.723,0.683,0.041,0.039,1,3
affinity,0.107,0.055,0.968,0.976,0.968,0.976,1,3
affinity,0.713,0.451,0.968,0.976,0.045,0.034,1,3
KMeans,0.126,0.005,0.783,0.814,0.09,0.105,2,3
KMeans,0.104,0.056,0.966,0.973,0.967,0.974,2,3
KMeans,0.496,0.347,0.966,0.973,0.087,0.069,2,3
KMeans,0.923,0.059,0.817,0.747,0.045,0.062,2,3
KMeans,0.085,0.046,0.969,0.973,0.975,0.978,2,3
KMeans,0.413,0.309,0.969,0.973,0.217,0.192,2,3
specteral,0.565,0.058,0.841,0.499,0.002,0.034,2,3
specteral,0.111,0.059,0.966,0.973,0.966,0.973,2,3
specteral,0.617,0.362,0.966,0.973,0.043,0.034,2,3
specteral,0.701,0.053,0.765,0.672,0.001,0.026,2,3
specteral,0.104,0.063,0.954,0.973,0.958,0.977,2,3
specteral,0.723,0.385,0.954,0.973,0.174,0.103,2,3
affinity,0.575,0.059,0.854,0.575,0.002,0.037,2,3
affinity,0.099,0.052,0.968,0.973,0.971,0.976,2,3
affinity,0.451,0.294,0.968,0.973,0.13,0.111,2,3
affinity,0.575,0.059,0.843,0.616,0.002,0.037,2,3
affinity,0.108,0.056,0.968,0.973,0.969,0.973,2,3
affinity,0.447,0.327,0.968,0.973,0.043,0.037,2,3
KMeans,0.544,0.053,0.749,0.865,0.027,0.038,4,3
KMeans,0.067,0.037,0.973,0.981,0.977,0.985,4,3
KMeans,0.411,0.227,0.973,0.981,0.238,0.167,4,3
KMeans,0.319,0.029,0.648,0.911,0.084,0.095,4,3
KMeans,0.081,0.044,0.966,0.981,0.97,0.985,4,3
KMeans,0.565,0.381,0.966,0.981,0.238,0.132,4,3
specteral,0.552,0.063,0.802,0.524,0.002,0.029,4,3
specteral,0.094,0.049,0.969,0.981,0.969,0.981,4,3
specteral,0.82,0.356,0.969,0.981,0.048,0.029,4,3
specteral,0.64,0.073,0.747,0.71,0.005,0.027,4,3
specteral,0.092,0.05,0.967,0.981,0.967,0.981,4,3
specteral,0.788,0.358,0.967,0.981,0.048,0.027,4,3
affinity,0.559,0.063,0.772,0.622,0.002,0.029,4,3
affinity,0.09,0.047,0.969,0.981,0.97,0.982,4,3
affinity,0.715,0.339,0.969,0.981,0.095,0.057,4,3
affinity,0.559,0.063,0.655,0.674,0.002,0.027,4,3
affinity,0.095,0.052,0.967,0.981,0.966,0.98,4,3
affinity,0.753,0.415,0.967,0.981,0.0,0.0,4,3
KMeans,0.588,0.119,0.7,0.767,0.021,0.029,5,3
KMeans,0.078,0.041,0.971,0.98,0.975,0.984,5,3
KMeans,0.672,0.37,0.971,0.98,0.192,0.132,5,3
KMeans,0.327,0.065,0.676,0.863,0.061,0.066,5,3
KMeans,0.074,0.039,0.973,0.98,0.976,0.984,5,3
KMeans,0.569,0.351,0.973,0.98,0.192,0.139,5,3
specteral,0.585,0.121,0.758,0.56,0.002,0.029,5,3
specteral,0.084,0.044,0.974,0.98,0.975,0.981,5,3
specteral,0.819,0.469,0.974,0.98,0.038,0.029,5,3
specteral,0.634,0.131,0.681,0.659,0.001,0.021,5,3
specteral,0.099,0.05,0.965,0.98,0.966,0.982,5,3
specteral,0.962,0.477,0.965,0.98,0.115,0.064,5,3
affinity,0.588,0.122,0.711,0.755,0.001,0.022,5,3
affinity,0.099,0.051,0.965,0.98,0.966,0.981,5,3
affinity,0.874,0.448,0.965,0.98,0.077,0.043,5,3
affinity,0.588,0.122,0.622,0.809,0.001,0.018,5,3
affinity,0.114,0.059,0.957,0.98,0.958,0.981,5,3
affinity,1.002,0.463,0.957,0.98,0.077,0.035,5,3
KMeans,0.511,0.034,0.766,0.78,0.029,0.041,7,3
KMeans,0.1,0.055,0.966,0.976,0.967,0.976,7,3
KMeans,0.529,0.282,0.966,0.976,0.045,0.032,7,3
KMeans,0.874,0.058,0.69,0.792,0.159,0.18,7,3
KMeans,0.087,0.048,0.97,0.976,0.972,0.979,7,3
KMeans,0.567,0.421,0.97,0.976,0.136,0.107,7,3
specteral,0.575,0.055,0.809,0.488,0.002,0.032,7,3
specteral,0.109,0.058,0.966,0.976,0.965,0.975,7,3
specteral,0.75,0.384,0.966,0.976,0.0,0.0,7,3
specteral,0.631,0.061,0.82,0.476,0.002,0.029,7,3
